label,latitude,longitude,region,department,class_name,nearest_train_station
cossaye,46.75584565,3.5098283500000003,bourgogne franche comté,nièvre,city,Decize
dirol,47.31839342,3.643605188,bourgogne franche comté,nièvre,city,Flez-Cuzy-Tannay
dommartin,47.071580028,3.845762646,bourgogne franche comté,nièvre,city,Château-Chinon
empury,47.347358725,3.822286786,bourgogne franche comté,nièvre,city,Corbigny
epiry,47.17048431,3.731841261,bourgogne franche comté,nièvre,city,Epiry-Montreuillon
garchizy,47.043647776,3.09366001,bourgogne franche comté,nièvre,city,Garchizy
lamenay sur loire,46.74622068,3.572315444,bourgogne franche comté,nièvre,city,Decize
lormes,47.289145913,3.825318823,bourgogne franche comté,nièvre,city,Corbigny
lucenay les aix,46.698049547,3.49197907,bourgogne franche comté,nièvre,city,Decize
la machine,46.891574846,3.462345119,bourgogne franche comté,nièvre,city,Decize
mesves sur loire,47.230238077,3.00396493,bourgogne franche comté,nièvre,city,Mesves-Bulcy
metz le comte,47.393000619,3.63581637,bourgogne franche comté,nièvre,city,Flez-Cuzy-Tannay
mhere,47.194724629,3.860095553,bourgogne franche comté,nièvre,city,Epiry-Montreuillon
moissy moulinot,47.327325796,3.707138721,bourgogne franche comté,nièvre,city,Flez-Cuzy-Tannay
montaron,46.876229584,3.74814841,bourgogne franche comté,nièvre,city,Cercy-la-Tour
montigny aux amognes,47.025418665,3.279291198,bourgogne franche comté,nièvre,city,Nevers-Le Banlay
montsauche les settons,47.214293843,4.033132574,bourgogne franche comté,nièvre,city,Saulieu
moussy,47.196501089,3.458811837,bourgogne franche comté,nièvre,city,Arzembouy
